year,type,country,activity,sex,age,species,fatal_y_n
2023.0,Unprovoked,AUSTRALIA,Surfing,M,46,Large Predatory Sharks,Y
2022.0,Unprovoked,AUSTRALIA,Spearfishing,M,38,Large Predatory Sharks,N
2021.0,Unprovoked,USA,Surfing,M,25,Other Category,N
2021.0,Unprovoked,USA,Swimming,M,26,Small Sharks (Size-Based),N
2021.0,Unprovoked,USA,Surfing,M,14,Other Category,N
2021.0,Unprovoked,AUSTRALIA,Swimming,F,46,Other Category,N
2020.0,Unprovoked,USA,Swimming,M,17,Large Predatory Sharks,N
2020.0,Unprovoked,AUSTRALIA,Spearfishing,M,59,Other Category,N
2020.0,Unprovoked,NEW ZEALAND,Surfing,M,60,Large Predatory Sharks,N
2019.0,Unprovoked,PAPUA NEW GUINEA,Spearfishing,M,33,Other Category,Y
2019.0,Unprovoked,USA,Surfing,F,21,Other Category,N
2019.0,Unprovoked,AUSTRALIA,Surfing,M,50,Other Category,N
2017.0,Unprovoked,SOUTH AFRICA,Surfing,F,13,Large Predatory Sharks,N
2017.0,Unprovoked,USA,Surfing,M,19,Other Category,N
2017.0,Unprovoked,AUSTRALIA,Swimming,M,57,Other Category,N
2016.0,Unprovoked,SOUTH AFRICA,Spearfishing,M,43,Large Predatory Sharks,N
2016.0,Unprovoked,AUSTRALIA,Swimming,M,12,Other Named Sharks,N
2016.0,Unprovoked,AUSTRALIA,Spearfishing,M,31,Large Sharks (Size-Based),N
2015.0,Unprovoked,USA,Surfing,M,25,Large Predatory Sharks,N
2015.0,Unprovoked,USA,Swimming,M,10,Other Category,N
2014.0,Unprovoked,AUSTRALIA,Surfing,M,13,Other Category,N
2014.0,Provoked,AUSTRALIA,Surfing,M,20,Other Category,N
2014.0,Unprovoked,USA,Surfing,M,28,Large Sharks (Size-Based),N
2014.0,Unprovoked,SOUTH AFRICA,Surfing,M,20,Large Predatory Sharks,N
2014.0,Unprovoked,BAHAMAS,Spearfishing,M,42,Large Sharks (Size-Based),N
2013.0,Unprovoked,USA,Surfing,M,25,Large Predatory Sharks,N
2013.0,Unprovoked,USA,Surfing,M,45,Large Predatory Sharks,N
2013.0,Unprovoked,USA,Swimming,M,28,Large Predatory Sharks,N
2012.0,Unprovoked,USA,Surfing,M,14,Small Sharks (Size-Based),N
2012.0,Unprovoked,AUSTRALIA,Surfing,M,34,Other Category,N
2012.0,Provoked,USA,Fishing,M,23,Other Named Sharks,N
2012.0,Unprovoked,USA,Surfing,F,12,Other Category,N
2011.0,Unprovoked,USA,Surfing,M,19,Other Category,N
2011.0,Unprovoked,SOUTH AFRICA,Surfing,M,33,Large Predatory Sharks,N
2009.0,Unprovoked,AUSTRALIA,Spearfishing,M,18,Large Predatory Sharks,N
